cell,estimator,N,dgp,beta_direct,rep_seed,theta,se,ci_low,ci_high
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,946152634,0.008629608437391832,0.015392366841973395,-0.021539430572876023,0.038798647447659686
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,886492419,-0.030199401490620885,0.01517359991996126,-0.059939657333744956,-0.00045914564749681766
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1071760705,0.014045213545632138,0.016230107991777203,-0.01776579811825118,0.045856225209515454
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1498413021,-0.014160150853635645,0.01569082276713629,-0.04491416347722277,0.01659386176995148
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1584207676,-0.005157752752036357,0.01544142420819243,-0.03542294420009352,0.025107438696020806
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,19370372,0.027508187477137937,0.01496474527136087,-0.0018227132547293662,0.05683908820900524
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1037509101,-0.008561306869030725,0.01565591992228007,-0.03924690991669966,0.02212429617863821
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,792763114,-0.009310781314342459,0.01572412671210848,-0.04013006967007508,0.021508507041390165
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,132741583,0.027673457563173322,0.01562219097277055,-0.002946036743456955,0.0582929518698036
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,644878861,0.015724224309090998,0.015647722492468378,-0.014945311776147021,0.04639376039432902
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1837161314,0.013425804483648706,0.014095880479865035,-0.014202121256886762,0.041053730224184175
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1298543532,0.01666423141237002,0.015423007303344316,-0.013564862902184838,0.04689332572692488
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1852755508,-0.0008366615638652265,0.014851758495260553,-0.02994610821457591,0.028272785086845456
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,431240368,0.019852428239733877,0.015377911946854733,-0.010288279176101398,0.04999313565556915
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1286552680,0.03701565587646783,0.01629462481776247,0.005078191233653391,0.06895312051928226
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1728546204,-0.009254299745232843,0.014105391893065446,-0.03690086785564112,0.018392268365175428
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1495280064,-0.019116714327528563,0.01783273750954109,-0.0540688798462291,0.015835451191171978
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,578002482,0.020659539328315893,0.015694372143840958,-0.010101430073612385,0.051420508730244174
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,868443694,0.028532794616796413,0.01398131215096744,0.001129422800900233,0.05593616643269259
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1692179511,0.006209256926840659,0.014361625358135443,-0.021939528775104807,0.034358042628786126
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1086042660,-0.008897247047164169,0.0148603982758817,-0.0380236276678923,0.020229133573563964
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1408223802,0.007046510402597061,0.014798189380221939,-0.021957940782637936,0.03605096158783206
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,562817347,0.013874476420065595,0.014759456244744597,-0.015054057819633813,0.042803010659765
