estimator,N,dgp,beta_direct,truth,n_reps_ok,bias,sd,rmse,coverage,mean_ci_length
DML,2000,scm0,0.0,0.010578270638701384,300,-0.0014427381938744033,0.007680132592581259,0.007801878962589342,0.9266666666666666,0.028990381375299534
DML,2000,scm1_0.01,0.4163981665617842,0.0766801975937896,300,-0.0013789187745019693,0.007116784637553923,0.007237486567776123,0.9566666666666667,0.02898878389531537
DML,2000,scm1_0.05,0.9504944939757333,0.1616948837360827,300,-0.0029179234714030167,0.00832998968700271,0.008813155496751294,0.9166666666666666,0.029186908333274388
DML,2000,scm1_0.10,1.3810364818773504,0.2305506170381782,300,-0.0036404670786409354,0.009392506320750381,0.010058733102105179,0.85,0.029317697940248345
DML,2000,scm1_0.15,1.740454092800067,0.28766335063551196,300,-0.005190617029742051,0.009986476749843104,0.011240097447606385,0.8133333333333334,0.029430519623964955
DML,2000,scm1_0.20,2.0715547228160256,0.34059040807873264,300,-0.005984069856173668,0.009711939793770686,0.011393702676750874,0.8033333333333333,0.029564316325562293
DML_cfpca,500,scm0,0.0,0.010725519787970952,300,0.0002589264138479659,0.017533407243977943,0.017506075456986042,0.9133333333333333,0.06107702148350422
DML_cfpca,500,scm1_0.01,0.4163981665617842,0.07697360561324113,300,0.0002931322512979423,0.022825843852732928,0.02278965431098357,0.8966666666666666,0.0614673263376289
DML_cfpca,500,scm1_0.05,0.9504944939757333,0.1621782257758086,300,0.0015489265302912891,0.01906713310905931,0.019098243021584402,0.91,0.06176022850070581
DML_cfpca,500,scm1_0.10,1.3810364818773504,0.23119687380676543,300,-0.00572843011797719,0.05518009526845406,0.05538509139716899,0.8766666666666667,0.06259748148542121
DML_cfpca,500,scm1_0.15,1.740454092800067,0.2884336616224033,300,-0.00432945820582975,0.05803163788093552,0.05809638227563094,0.86,0.06345411833797267
DML_cfpca,500,scm1_0.20,2.0715547228160256,0.34148805688967754,300,-0.005871689075296782,0.07218421408353598,0.0723026206964763,0.8266666666666667,0.06473883464835917
DML_cfpca,2000,scm0,0.0,0.010725519787970952,300,-0.0005814937118247421,0.007691899451125664,0.007701054108317354,0.9433333333333334,0.029262415282456735
DML_cfpca,2000,scm1_0.01,0.4163981665617842,0.07697360561324113,300,-0.0011793010774304447,0.007570838841280231,0.007649659673649792,0.95,0.029260813039334248
DML_cfpca,2000,scm1_0.05,0.9504944939757333,0.1621782257758086,300,-0.0020037911281181042,0.008664334402200827,0.008878943286385029,0.9133333333333333,0.029474740283557434
DML_cfpca,2000,scm1_0.10,1.3810364818773504,0.23119687380676543,300,-0.0023018503260588408,0.00881343066259246,0.00909484211523696,0.9,0.02968765519610518
DML_cfpca,2000,scm1_0.15,1.740454092800067,0.2884336616224033,300,-0.0023620660775998115,0.010524713798744834,0.010769388315898881,0.8266666666666667,0.02977757029502771
DML_cfpca,2000,scm1_0.20,2.0715547228160256,0.34148805688967754,300,-0.0027954271029862476,0.010431151175841695,0.010782422323324638,0.8433333333333334,0.029968289325277682
