city,block_dropped,n,n_x,theta,se,rv,rv_alpha,f2,cf_y,cf_d,delta_theta_short_long
chicago,crime,5576,30,0.07651414432741377,0.015055973903584013,0.06354557689576218,0.05837385937305206,0.004312052186832105,0.0031870978063808,0.002040007212692035,0.003169183223214911
chicago,amenity,5576,26,0.07339606249160503,0.015076025435225977,0.06354557689576218,0.05837385937305206,0.004312052186832105,0.0057182220097744185,0.0006486196522588951,5.1101387406174426e-05
chicago,micro_geo,5576,28,0.07953848140170258,0.015133777148996348,0.06354557689576218,0.05837385937305206,0.004312052186832105,0.009144846571150177,0.00179399728276772,0.006193520297503724
seattle,none,2884,34,0.01857726153979555,0.013914744526845288,0.02470181931198733,0.0,0.0006256341797865613,,,
seattle,spatial,2884,32,0.01879329925310253,0.0139206304073106,0.02470181931198733,0.0,0.0006256341797865613,0.0004914166096678961,0.00046356925111536493,0.0002160377133069817
seattle,property,2884,31,0.016934113669363097,0.013955583475180366,0.02470181931198733,0.0,0.0006256341797865613,0.02629392602516659,0.0018567986401600602,-0.0016431478704324529
seattle,census,2884,23,0.028790957273019665,0.014278860207784209,0.02470181931198733,0.0,0.0006256341797865613,0.05617842642672032,0.007667340737396019,0.010213695733224115
seattle,crime,2884,30,0.018622641847886923,0.013988468254104042,0.02470181931198733,0.0,0.0006256341797865613,0.00023386811790380933,0.003141514557402502,4.538030809137297e-05
seattle,amenity,2884,26,0.01521078957641264,0.013869460411635424,0.02470181931198733,0.0,0.0006256341797865613,0.002903823950936874,0.005329623059210627,-0.0033664719633829093
seattle,micro_geo,2884,28,0.019309351692556324,0.01382150757343645,0.02470181931198733,0.0,0.0006256341797865613,0.006680863810858013,0.0014968501762211703,0.000732090152760774
denver,none,5280,34,0.04271519351475149,0.008751659289866747,0.06516098558316483,0.05984561685408506,0.004541909330579336,,,
denver,spatial,5280,32,0.044870973759453564,0.008695237191788852,0.06516098558316483,0.05984561685408506,0.004541909330579336,0.005689127959205948,0.007368931322894244,0.002155780244702074
denver,property,5280,31,0.04693454015165061,0.008938542291766919,0.06516098558316483,0.05984561685408506,0.004541909330579336,0.04355712183104556,0.0013892827230291705,0.0042193466368991225
denver,census,5280,23,0.0539154672482911,0.00903173513746997,0.06516098558316483,0.05984561685408506,0.004541909330579336,0.09999398306638617,0.005622569901732952,0.011200273733539608
denver,crime,5280,30,0.043219348552834956,0.008764704471551713,0.06516098558316483,0.05984561685408506,0.004541909330579336,0.002002563016072382,0.0008344336106065922,0.0005041550380834661
denver,amenity,5280,26,0.039888932488003896,0.008783865957852712,0.06516098558316483,0.05984561685408506,0.004541909330579336,0.015627218767424927,0.0063112632862021255,-0.0028262610267475938
denver,micro_geo,5280,28,0.03997897745867066,0.00870977691477825,0.06516098558316483,0.05984561685408506,0.004541909330579336,0.011631588976794142,0.020534626396171547,-0.002736216056080827
atlanta,none,6134,34,0.040202335501655785,0.009894014212124269,0.05069354403529619,0.04454946272360563,0.0027070661857524145,,,
atlanta,spatial,6134,32,0.0394788202845285,0.009807331456051775,0.05069354403529619,0.04454946272360563,0.0027070661857524145,0.0027608932804928017,0.010417990522670296,-0.0007235152171272824
atlanta,property,6134,31,0.039821410975098066,0.010090986317255522,0.05069354403529619,0.04454946272360563,0.0027070661857524145,0.011880935003427243,0.00029384946217829075,-0.0003809245265577188
atlanta,census,6134,23,0.050320911233248174,0.010396001175068002,0.05069354403529619,0.04454946272360563,0.0027070661857524145,0.09603380225674454,0.0052121922801740975,0.010118575731592389
atlanta,crime,6134,30,0.04043163070732701,0.009870758802829132,0.05069354403529619,0.04454946272360563,0.0027070661857524145,0.00040820748120103107,0.002463201064613427,0.00022929520567122746
atlanta,amenity,6134,26,0.039231594243484734,0.009947350375318704,0.05069354403529619,0.04454946272360563,0.0027070661857524145,0.0016046357362772788,0.0012582445689980622,-0.0009707412581710512
atlanta,micro_geo,6134,28,0.038895862237853344,0.009931178786411993,0.05069354403529619,0.04454946272360563,0.0027070661857524145,0.00498305498818692,0.008349320990756519,-0.0013064732638024407
portland,none,4337,34,0.028823290952110572,0.010742589900852766,0.040079021258967874,0.02754844394357198,0.0016733960197260725,,,
portland,spatial,4337,32,0.027842847212245354,0.010770867752708732,0.040079021258967874,0.02754844394357198,0.0016733960197260725,0.007515189084324729,0.00024982572136043776,-0.0009804437398652187
portland,property,4337,31,0.026364472664502148,0.010765229764920602,0.040079021258967874,0.02754844394357198,0.0016733960197260725,0.013140284288834023,0.006474321546950372,-0.0024588182876084247
portland,census,4337,23,0.03584557898094684,0.010824788213765169,0.040079021258967874,0.02754844394357198,0.0016733960197260725,0.03665641721312583,0.004584294210508699,0.007022288028836268
portland,crime,4337,30,0.028823290952112265,0.010742589900852743,0.040079021258967874,0.02754844394357198,0.0016733960197260725,0.0,0.0,1.6930901125533637e-15
portland,amenity,4337,26,0.02964887377788775,0.010913719432037906,0.040079021258967874,0.02754844394357198,0.0016733960197260725,0.0074178589301530885,0.002346071115113251,0.0008255828257771776
portland,micro_geo,4337,28,0.029051421846679266,0.010768004039738781,0.040079021258967874,0.02754844394357198,0.0016733960197260725,0.015484233814790261,0.0012737915635262173,0.00022813089456869343
phoenix,none,7086,34,0.03944761591971199,0.00950274009618522,0.048229490548045616,0.042639720937384946,0.0024439544358896134,,,
phoenix,spatial,7086,32,0.04345603275147955,0.009511257037290825,0.048229490548045616,0.042639720937384946,0.0024439544358896134,0.005916773711481378,0.004729043132739478,0.004008416831767558
phoenix,property,7086,31,0.03939840001378643,0.009430891781037218,0.048229490548045616,0.042639720937384946,0.0024439544358896134,0.027985273217295426,0.017459441484965647,-4.921590592556202e-05
phoenix,census,7086,23,0.0535486195544855,0.009783464014747112,0.048229490548045616,0.042639720937384946,0.0024439544358896134,0.058504975843492145,0.02249298530623314,0.014101003634773505
phoenix,crime,7086,30,0.03944761591971319,0.009502740096185142,0.048229490548045616,0.042639720937384946,0.0024439544358896134,0.0,0.0,1.2004286453759505e-15
phoenix,amenity,7086,26,0.03925539374880749,0.00949216882399977,0.048229490548045616,0.042639720937384946,0.0024439544358896134,0.0011919638768946473,0.004001398529876501,-0.00019222217090450466
phoenix,micro_geo,7086,28,0.038794113965113515,0.009486343804469765,0.048229490548045616,0.042639720937384946,0.0024439544358896134,0.0025033778032598985,0.00214443092295401,-0.0006535019545984774
dallas,none,8008,34,0.04229077191918096,0.009109735050950042,0.05065712427533149,0.04603257833317852,0.0027030742058158346,,,
dallas,spatial,8008,32,0.03921031970424552,0.008972871213888409,0.05065712427533149,0.04603257833317852,0.0027030742058158346,0.006549013643021879,0.0037890288451488748,-0.003080452214935435
dallas,property,8008,31,0.04235941066658321,0.009075485039404177,0.05065712427533149,0.04603257833317852,0.0027030742058158346,0.026968990882434967,0.0003155205451526015,6.863874740225401e-05
dallas,census,8008,23,0.056920929490864344,0.00959776253914924,0.05065712427533149,0.04603257833317852,0.0027030742058158346,0.08027063720653406,0.007721298212039775,0.014630157571683386
dallas,crime,8008,30,0.041405229058697104,0.009191248452843177,0.05065712427533149,0.04603257833317852,0.0027030742058158346,0.010257460381317637,0.00047422908276182913,-0.0008855428604838539
dallas,amenity,8008,26,0.04247644682377632,0.009091141838182474,0.05065712427533149,0.04603257833317852,0.0027030742058158346,0.011474812965129328,0.0036860542066583656,0.00018567490459536068
dallas,micro_geo,8008,28,0.04781002166202233,0.009109498019223922,0.05065712427533149,0.04603257833317852,0.0027030742058158346,0.017598909941050747,0.0068619840667625545,0.005519249742841369
