cell,estimator,N,dgp,beta_direct,rep_seed,theta,se,ci_low,ci_high
DR|N=500|scm0,DR,500,scm0,0.0,336730988,0.017827753593909878,0.031376026236008756,-0.04366925782866728,0.07932476501648704
DR|N=500|scm0,DR,500,scm0,0.0,882755250,0.041712473932992156,0.03145194045815958,-0.019933329365000613,0.10335827723098492
DR|N=500|scm0,DR,500,scm0,0.0,216258061,0.00037307436973669985,0.03049255636876019,-0.05939233611303327,0.06013848485250667
DR|N=500|scm0,DR,500,scm0,0.0,1405852644,-0.04107506334054715,0.03504154085992297,-0.10975648342599617,0.027606356744901868
DR|N=500|scm0,DR,500,scm0,0.0,1494922366,-0.016119430465917434,0.030796203581959645,-0.07647998948655833,0.044241128554723466
DR|N=500|scm0,DR,500,scm0,0.0,894864454,0.03679073609360618,0.03118644247054996,-0.024334691148671733,0.0979161633358841
DR|N=500|scm0,DR,500,scm0,0.0,347861919,0.04931492549929746,0.032158239443007,-0.013715223808996257,0.11234507480759118
DR|N=500|scm0,DR,500,scm0,0.0,530840898,-0.007427041931991646,0.029362457560665474,-0.06497745875089597,0.05012337488691268
DR|N=500|scm0,DR,500,scm0,0.0,1991570991,-0.027426985505541335,0.031074676286402893,-0.08833335102689101,0.03347938001580833
DR|N=500|scm0,DR,500,scm0,0.0,263300534,0.024799902179397797,0.0297719147259428,-0.03355305068345009,0.08315285504224568
DR|N=500|scm0,DR,500,scm0,0.0,489258893,-0.0005800703190430152,0.03222381936135273,-0.06373875626729437,0.06257861562920834
DR|N=500|scm0,DR,500,scm0,0.0,1596532301,0.019330719940155807,0.03006428313058857,-0.03959527499579779,0.0782567148761094
DR|N=500|scm0,DR,500,scm0,0.0,981091937,0.009942362960833473,0.03446495215431741,-0.05760894326162865,0.0774936691832956
DR|N=500|scm0,DR,500,scm0,0.0,1099736371,0.03228605998206687,0.031865658067017785,-0.03017062982928799,0.09474274979342173
DR|N=500|scm0,DR,500,scm0,0.0,502463890,-0.034395358976254294,0.029676629783425897,-0.09256155335176905,0.023770835399260462
DR|N=500|scm0,DR,500,scm0,0.0,995910252,-0.05644465263476898,0.029980677806454355,-0.11520678113541952,0.0023174758658815603
DR|N=500|scm0,DR,500,scm0,0.0,2083221442,-0.04954534290505785,0.03212713945962437,-0.11251453624592161,0.013423850435805927
DR|N=500|scm0,DR,500,scm0,0.0,603262983,-0.040941525172089405,0.030770788773381737,-0.1012522711679176,0.0193692208237388
DR|N=500|scm0,DR,500,scm0,0.0,25246691,-0.06637008529235172,0.029761449978520663,-0.12470252725025222,-0.00803764333445122
DR|N=500|scm0,DR,500,scm0,0.0,908465506,-0.03273728475892773,0.030884367624814668,-0.09327064530356448,0.027796075785709015
DR|N=500|scm0,DR,500,scm0,0.0,808918570,-0.05540991841348999,0.03025054373074321,-0.11470098412574667,0.0038811472987667003
DR|N=500|scm0,DR,500,scm0,0.0,854687927,-0.004086427946866116,0.033601673760735785,-0.06994570851790825,0.06177285262417602
DR|N=500|scm0,DR,500,scm0,0.0,1109819081,-0.006063027867152291,0.03271718935204076,-0.07018871899715218,0.05806266326284759
DR|N=500|scm0,DR,500,scm0,0.0,58215051,0.0008187236594247587,0.03368204440798877,-0.06519808338023322,0.06683553069908274
DR|N=500|scm0,DR,500,scm0,0.0,289694847,0.0018018231510259035,0.0318678502270198,-0.06065916329393291,0.06426280959598471
DR|N=500|scm0,DR,500,scm0,0.0,556704764,0.017835552421888758,0.03308279933570326,-0.047006734276089625,0.08267783911986715
DR|N=500|scm0,DR,500,scm0,0.0,1123345499,0.013284414923701275,0.03198364753644842,-0.04940353424773762,0.07597236409514017
DR|N=500|scm0,DR,500,scm0,0.0,1578309723,0.022373702141150125,0.03207143660226383,-0.04048631359928698,0.08523371788158723
DR|N=500|scm0,DR,500,scm0,0.0,23027976,0.04269194464009267,0.03289666577837819,-0.021785520285528576,0.10716940956571391
DR|N=500|scm0,DR,500,scm0,0.0,1254850317,0.004601413730978468,0.030163449040794005,-0.05451894638897778,0.06372177385093472
DR|N=500|scm0,DR,500,scm0,0.0,528115566,0.02373545266583957,0.031759233349307706,-0.03851264469880353,0.08598355003048268
DR|N=500|scm0,DR,500,scm0,0.0,605659116,-0.028005088326107562,0.031982302776621244,-0.09069040176828519,0.03468022511607007
DR|N=500|scm0,DR,500,scm0,0.0,1778895647,0.01822203244958989,0.031259442543685616,-0.04304647493603392,0.07949053983521369
