cell,estimator,N,dgp,beta_direct,rep_seed,theta,se,ci_low,ci_high
DML|N=500|scm0,DML,500,scm0,0.0,1123345499,0.0033851464877105155,0.014680030647607175,-0.025387713581599546,0.03215800655702058
DML|N=500|scm0,DML,500,scm0,0.0,1578309723,0.021456707504086864,0.014548361055878149,-0.0070580801654343064,0.049971495173608035
DML|N=500|scm0,DML,500,scm0,0.0,23027976,0.01678517143774174,0.013614428974185402,-0.009899109351661647,0.04346945222714513
DML|N=500|scm0,DML,500,scm0,0.0,1254850317,0.01929858135988631,0.013726170890266542,-0.007604713585036112,0.04620187630480874
DML|N=500|scm0,DML,500,scm0,0.0,528115566,0.018318067411345514,0.0157387205350718,-0.012529824837395214,0.049165959660086245
DML|N=500|scm0,DML,500,scm0,0.0,605659116,0.013439711623448035,0.014578799022448274,-0.015134734460550582,0.04201415770744665
DML|N=500|scm0,DML,500,scm0,0.0,1778895647,-0.03147511100918223,0.014312071894953798,-0.05952677192329167,-0.003423450095072788
DML|N=500|scm0,DML,500,scm0,0.0,527889521,0.0009564754567788353,0.016000492732174364,-0.03040449029828292,0.03231744121184059
DML|N=500|scm0,DML,500,scm0,0.0,792247550,0.014029465669477091,0.017452259573362546,-0.0201769630943135,0.04823589443326768
DML|N=500|scm0,DML,500,scm0,0.0,1469647704,0.0013208398934125014,0.013309769188059433,-0.02476630771518399,0.02740798750200899
DML|N=500|scm0,DML,500,scm0,0.0,1303655034,0.009747031212858831,0.01607177629074486,-0.0217536503170011,0.04124771274271876
DML|N=500|scm0,DML,500,scm0,0.0,1368330998,0.004951278145410758,0.013218960833135453,-0.020957885087534732,0.030860441378356245
DML|N=500|scm0,DML,500,scm0,0.0,1841883671,0.01767312609246954,0.014926149445348385,-0.011582126820413294,0.04692837900535238
DML|N=500|scm0,DML,500,scm0,0.0,1071753328,0.009743096501446441,0.013156961029306434,-0.016044547115994172,0.03553074011888705
DML|N=500|scm0,DML,500,scm0,0.0,2023208018,0.0341671385611996,0.015881209532320553,0.003039967877851317,0.06529430924454788
DML|N=500|scm0,DML,500,scm0,0.0,219078220,0.016444682985034875,0.014037500279508274,-0.011068817562801342,0.04395818353287109
DML|N=500|scm0,DML,500,scm0,0.0,946152634,0.00973342515398802,0.014558553635040973,-0.018801339970692287,0.03826819027866833
DML|N=500|scm0,DML,500,scm0,0.0,886492419,-0.03192403024502599,0.014725021186727706,-0.06078507177101229,-0.003062988719039688
DML|N=500|scm0,DML,500,scm0,0.0,1071760705,0.0096434572320612,0.0158858187998086,-0.021492747615563655,0.04077966207968606
DML|N=500|scm0,DML,500,scm0,0.0,1498413021,-0.011817840190401403,0.014942220595375108,-0.04110459255733662,0.017468912176533808
DML|N=500|scm0,DML,500,scm0,0.0,1584207676,-0.0049924759741663645,0.014836554770352436,-0.03407212332405714,0.02408717137572441
DML|N=500|scm0,DML,500,scm0,0.0,19370372,0.02347426594649749,0.013813235898683518,-0.0035996764149222073,0.05054820830791719
DML|N=500|scm0,DML,500,scm0,0.0,1037509101,-0.00799359638100017,0.014656074599193694,-0.03671950259541981,0.02073230983341947
DML|N=500|scm0,DML,500,scm0,0.0,792763114,-0.01125736585203418,0.015286366882481146,-0.041218644941697226,0.018703913237628864
